,periodStartUnix,liquidity,high,low,close,feeGrowthGlobal0X128,feeGrowthGlobal1X128,pool.totalValueLockedUSD,pool.totalValueLockedToken1,pool.totalValueLockedToken0,pool.token0.decimals,pool.token1.decimals
5713,1640779200.0,9.086146404819846e+18,3785.1599999406144,3735.8232713187563,3735.8232713187563,1.5323201449008124e+33,5.3564550858322575e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5714,1640782800.0,9.401996077334696e+18,3756.4139783735072,3703.00969512029,3756.4139783735072,1.532767834267903e+33,5.3571956832184456e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5715,1640786400.0,9.412261863132742e+18,3779.884811347042,3749.5653588439677,3779.884811347042,1.5330602214769584e+33,5.357453017186742e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5716,1640790000.0,1.0762019084044095e+19,3790.070521531457,3780.6543248991716,3790.070521531457,1.5331445080437858e+33,5.357453017186742e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5717,1640793600.0,9.41221704469773e+18,3790.070521531457,3783.614447091277,3783.614447091277,1.5331449823261178e+33,5.3574714424951035e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5718,1640797200.0,9.5801095317513e+18,3783.614447091277,3762.299439568711,3762.299439568711,1.5331449823261178e+33,5.3580657231755645e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5719,1640800800.0,9.57086543063556e+18,3762.723725847272,3758.0820698812568,3758.0820698812568,1.5331485235681792e+33,5.358167516121669e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5720,1640804400.0,9.514496817907671e+18,3757.966033102613,3728.1261923786324,3728.1261923786324,1.5331485235681792e+33,5.358838465720211e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5721,1640808000.0,9.57086543063556e+18,3755.539971411081,3725.6884386744673,3748.535606820471,1.5333984036193241e+33,5.3589425359729765e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5722,1640811600.0,9.264233247916782e+18,3742.7482447342045,3709.699033645067,3715.9309812885695,1.533451093264854e+33,5.359923354943947e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5723,1640815200.0,1.10496775608771e+19,3733.68999219775,3721.383874890756,3727.8023362788567,1.5336000645409382e+33,5.3599935104864156e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5724,1640818800.0,8.799768024027434e+18,3718.510531594786,3616.454236511867,3626.275571899175,1.5340930677778114e+33,5.363744029901875e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5725,1640822400.0,9.1090064422716e+18,3659.1921427782777,3589.4641399264674,3659.1921427782777,1.5348705450782878e+33,5.365118045311798e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5726,1640826000.0,9.215377251815603e+18,3659.1100774077318,3650.603283865387,3657.394033940592,1.5349448241262317e+33,5.365379353280012e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5727,1640829600.0,9.151372487204592e+18,3655.181145286535,3633.682644618601,3640.1097957072693,1.5349904268539486e+33,5.36593086267224e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5728,1640833200.0,8.945447533704849e+18,3653.626310385525,3640.5017927706426,3653.626310385525,1.535162842604448e+33,5.3660483577137805e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5729,1640836800.0,9.007727384645725e+18,3676.4964102352087,3653.9631593080294,3676.4964102352087,1.5353562457397936e+33,5.3660483577137805e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5730,1640840400.0,9.007592966236035e+18,3671.855877173915,3634.0219212997913,3667.393238832927,1.5356390080424336e+33,5.367032358869282e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5731,1640844000.0,9.024046080864608e+18,3694.1093250000013,3667.049056206049,3694.1093250000013,1.5358169545144232e+33,5.3670402933560584e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5732,1640847600.0,9.394125499710226e+18,3706.086449349261,3699.0887737844982,3706.086449349261,1.535968167824516e+33,5.3670402933560584e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5733,1640851200.0,9.367849071947938e+18,3722.55995344882,3703.704575292977,3704.0165359767657,1.5361106576725652e+33,5.367466933692705e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5734,1640854800.0,8.997769653102322e+18,3702.7093331681513,3693.2021903093055,3693.3624797398293,1.536111792228283e+33,5.36771707490752e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5735,1640858400.0,9.049608703558611e+18,3693.091688675441,3686.462537928087,3688.653490340711,1.5361304793529046e+33,5.3678746752323006e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5736,1640862000.0,9.763263415095261e+18,3731.8174437715056,3693.06765915076,3731.8174437715056,1.5364943430957905e+33,5.367877549985982e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5737,1640865600.0,9.523090444628967e+18,3738.9799581094703,3732.718938388609,3738.2904974026333,1.53655434052187e+33,5.367893528584136e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5738,1640869200.0,9.554445200037366e+18,3738.2904974026333,3730.309715994535,3730.309715994535,1.536554541490985e+33,5.3680725757478864e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5739,1640872800.0,9.194000586951712e+18,3724.680948328198,3709.939905888587,3709.939905888587,1.536554541490985e+33,5.368435695916999e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5740,1640876400.0,9.194000586951712e+18,3718.261785718959,3717.2087069867853,3718.261785718959,1.5366188983247968e+33,5.368532184504549e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5741,1640880000.0,9.651153012551066e+18,3748.57830785077,3718.2750105762602,3748.57830785077,1.536856851711299e+33,5.368532184504549e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5742,1640883600.0,9.651153012551066e+18,3746.800754625503,3746.3013676435503,3746.3013676435503,1.53687846679844e+33,5.368571849989314e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5743,1640887200.0,9.65085869188027e+18,3752.058866830932,3739.6890339454217,3752.058866830932,1.5369729477056537e+33,5.368730828388754e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5744,1640890800.0,9.65085869188027e+18,3757.89921576378,3752.071414930045,3757.89921576378,1.537030570502096e+33,5.368730828388754e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5745,1640894400.0,9.59939447979074e+18,3756.3765840623714,3727.507522567716,3727.5903442654358,1.5370314277874393e+33,5.369410371171692e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5746,1640898000.0,9.59939447979074e+18,3731.2575450000068,3709.119686460907,3731.2575450000068,1.5371217358920488e+33,5.370069920009004e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5747,1640901600.0,9.169998827553171e+18,3726.354062186569,3698.844423161663,3698.844423161663,1.5373075544796582e+33,5.370802156564833e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5748,1640905200.0,1.8141379057014106e+19,3705.3004812345866,3690.0590875667376,3705.287059735795,1.5374358749100445e+33,5.3710033681223754e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5749,1640908800.0,1.8141379057014106e+19,3721.6279583487617,3696.771090547687,3704.5831587971647,1.5376387694203968e+33,5.3715667004864056e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5750,1640912400.0,1.845909678710718e+19,3725.9591185471772,3697.668004012042,3725.954204929049,1.53787663957648e+33,5.371724041651043e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5751,1640916000.0,1.813483936675233e+19,3725.726835782276,3716.6794768739214,3716.6794768739214,1.53787663957648e+33,5.371933179893415e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5752,1640919600.0,1.85040213088838e+19,3744.5888706265932,3718.723802141221,3744.5888706265932,1.5381105746695958e+33,5.371933208175041e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5753,1640923200.0,1.837973004181366e+19,3748.657675489221,3739.668563057439,3748.649981783876,1.538185784577339e+33,5.37204341960118e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5754,1640926800.0,1.828302473898391e+19,3748.649981783876,3739.676611633416,3740.308522387714,1.5381894139035855e+33,5.372243940362917e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5755,1640930400.0,1.8283177999493405e+19,3740.309095754207,3737.0689375178717,3737.0689375178717,1.5381911031030966e+33,5.372316568053584e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5756,1640934000.0,1.79017079620855e+19,3739.74765792459,3700.598797762188,3710.036071574173,1.5382587777427422e+33,5.373199886780682e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5757,1640937600.0,1.9489703716436898e+19,3803.196800332511,3713.4066767592158,3803.196800332511,1.539512633931531e+33,5.3743762029261664e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5758,1640941200.0,1.949049010826632e+19,3803.1901444250175,3802.7254396508893,3802.7254396508893,1.539512633931531e+33,5.3743864927057495e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5759,1640944800.0,1.1642090850452746e+19,3802.638133442993,3777.4501778035524,3777.4501778035524,1.5395131575221046e+33,5.374942446960279e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5760,1640948400.0,1.1632826138695156e+19,3779.844346583111,3779.844346583111,3779.844346583111,1.5395330973836626e+33,5.374942446960279e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5761,1640952000.0,1.163220445113631e+19,3786.9619876397423,3782.9827412765612,3786.3862661203057,1.5395923394727758e+33,5.374955096103554e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5762,1640955600.0,1.1662687167601603e+19,3791.384941364233,3786.3862661203057,3791.384941364233,1.5396099659215438e+33,5.374955096103554e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5763,1640959200.0,1.166369701958451e+19,3798.2686091312767,3791.292535192749,3798.2686091312767,1.539688390451322e+33,5.374957122608371e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5764,1640962800.0,1.1640745088240398e+19,3798.2418120262437,3787.539413864937,3787.539413864937,1.5396918913896574e+33,5.375192272866642e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
